time,Y,Ym,Yl,Yu,U,Um,Ul,Uu,Mode,Control
161,0.10864236384538865,0.105,0.0,0.32332702293707061,36.68609425183536,42.0,26.491625449599674,46.88056305407104,g,2
162,0.11916879518375338,0.081,0.0,0.27561984866940115,34.59246686488317,37.0,24.468194487081092,44.71673924268525,g,2
163,0.3090768908318271,0.076,0.11896661397540265,0.49918716768825155,36.098084126196284,37.0,25.967445281057618,46.228722971334946,g,3
164,0.11778631059891197,0.084,0.0,0.28911090183001792,35.8027774648648,35.333,25.676411445803005,45.929143483926602,g,3
165,0.14192192637814038,0.065,0.0,0.30945840228728871,31.83748681612758,32.0,21.718499959187533,41.956473673067627,g,2
166,0.11708732643243083,0.059,0.0,0.27212497777515882,30.430913141667112,32.0,20.323317374880652,40.538508908453572,g,2
167,0.2234700780670426,0.173,0.01472889764658214,0.43221125848750308,31.823455065247117,33.333,21.73905619522403,41.907853935270204,g,2
168,0.12001459286031686,0.088,0.0,0.27790973913821748,33.33687083911133,34.0,23.255271069413396,43.418470608809258,g,2
169,0.1711646290148405,0.054,0.013516987957917337,0.32881227007176367,33.78875844194516,34.0,23.706627364017756,43.87088951987257,g,3
170,0.12253445380207129,0.179,0.0,0.72995731152461385,48.263596638338186,46.0,37.990411306347227,58.536781970329145,y,2
171,0.11566133781544069,0.099,0.0,0.68545830918507566,51.82735414859707,46.0,41.566072527415528,62.088635769778605,y,4
172,0.09995258439207638,0.075,0.0,0.64855650625456374,69.29775317448025,62.0,58.911256947437579,79.684249401522919,y,2
173,0.38099686278998046,0.775,0.0,0.9871312141696249,110.94680343597975,94.0,99.879966277883895,122.0136405940756,y,3
174,0.2057051110201761,1.334,0.0,0.73993155012907341,114.01804413936065,94.0,102.62898879357384,125.40709948514747,y,5
175,0.1382475246761577,0.263,0.0,0.69661089021299016,153.65030979394305,135.333,141.80609608999433,165.49452349789178,y,9
176,0.2762097874908753,0.624,0.0,0.88710724132525187,178.91853293863153,156.0,167.08092478828513,190.75614108897793,y,10
177,0.2940114795177136,0.266,0.0,0.86886423755938158,170.55115449251207,156.0,158.14574846871437,182.95656051630976,y,10
178,0.44101995938412875,0.505,0.0,1.0382846145089824,185.49083864382442,182.0,172.98852965738482,197.99314763026402,y,10
179,0.44141699287826974,0.564,0.0,1.0045353138710111,181.29039147313597,182.0,168.78154988977161,193.79923305650033,y,10
180,0.3630045254730252,0.133,0.0,0.91222194993203998,178.45228462037073,186.0,165.91974501461294,190.98482422612852,y,10
181,0.3290479238554691,0.148,0.0,0.8792013688148731,185.0170367889341,194.0,172.23230272645503,197.80177085141315,y,10
182,0.27247619828620273,0.058,0.0,0.81654693041041682,188.69803544123727,194.0,175.84539777327208,201.55067310920245,y,10
183,0.22529200655666637,0.063,0.0,0.76472886793772765,184.59503131295875,188.667,171.84152925464707,197.34853337127043,y,10
184,0.17268171732830195,0.06,0.0,0.71515476098545505,180.9578466148725,186.0,168.2167033107464,193.69898991899859,y,10
185,0.2074961777610621,0.06,0.0,0.73975600652281892,181.16828988405842,186.0,168.41105388452172,193.92552588359513,y,10
186,0.1681616301475508,0.061,0.0,0.69260531314334284,160.7643803620681,168.0,147.82588194432202,173.70287877981417,y,10
187,0.07714680295179588,0.057,0.0,0.62476397609303502,155.96466297968038,168.0,142.97502117309708,168.95430478626369,y,8
188,0.23987560115999715,0.068,0.0,0.76573290536340777,149.69327095803874,160.667,136.68796053463501,162.69858138144247,y,8
189,0.12622746585310862,0.066,0.0,0.64779040734529092,134.38118220145896,146.0,121.3935153188125,147.36884908410542,y,7
190,0.13234025462040877,0.06,0.0,0.65349380810177748,133.76022542317833,146.0,120.68497635533828,146.83547449101837,y,7
191,0.2083520545227867,0.066,0.0,0.73063523609886716,129.81983285433978,138.0,116.73448453901091,142.90518116966865,y,7
192,0.0,0.069,0.0,0.45800502799598602,128.20837170926973,134.0,115.11185983681509,141.30488358172437,g,5
193,0.18889498510498748,0.074,0.0,0.71118046986402406,131.02683346487527,134.0,117.90579194051001,144.14787498924051,y,6
194,0.22020700669611792,0.074,0.0,0.74329645824363189,128.9150421062049,130.0,115.95271848835797,141.87736572405183,y,6
195,0.19461644334086148,0.08,0.0,0.71707941022402255,128.37916786322995,130.0,115.41789093995332,141.34044478650659,y,6
196,0.13286541745603364,0.076,0.0,0.65465589120861534,129.56035922358643,131.333,116.59144542861448,142.5292730185584,y,5
197,0.23586558311254674,0.072,0.0,0.76068031118859536,132.542502652942,134.0,119.55716670207963,145.52783860380438,y,5
198,0.268036563120595,0.09,0.0,0.79396720835202861,132.535122043239,134.0,119.59368801896611,145.47655606751189,y,6
199,0.22632729354985304,0.085,0.0,0.751715771742959,131.3628572449669,134.0,118.41965376497862,144.30606072495519,y,6
200,0.1646210898050542,0.076,0.0,0.6884045043386976,130.29765929121652,134.0,117.36943581538728,143.22588276704576,y,6
201,0.1868858255753133,0.077,0.0,0.71106035321063898,129.95969468464722,134.0,117.03558744886142,142.88380192043303,y,6
202,0.09784121385576716,0.064,0.0,0.62178991951819784,119.56977181943284,125.0,106.77531761745291,132.36422602141278,y,4
203,2.860770351906754,0.075,2.4012464777222093,3.3202942260912987,117.28668044981987,125.0,104.46759595681016,130.10576494282958,g,5
204,0.1813751635399381,0.078,0.0,0.70361325149364429,116.41702662383818,122.667,103.57789435104564,129.25615889663072,y,5
205,0.1801149939196156,0.061,0.0,0.70229867110412303,113.08457104655685,118.0,100.25333820505109,125.9158038880626,y,5
206,0.09613506141560102,0.076,0.0,0.5737695240419014,114.100466564665,118.0,101.25209968214497,126.94883344718502,y,3
207,0.19894578854527287,0.079,0.034713681486252423,0.36317789560429331,112.94351137937909,115.333,100.09551366925174,125.79150908950643,g,4
208,0.19081939758966143,0.107,0.0,0.6465102610142629,111.7779709320944,114.0,98.929144618940882,124.62679724524793,y,4
209,0.17406754429141436,0.098,0.0,0.61306632149814311,111.80159528078303,114.0,98.948217756949163,124.6549728046169,y,4
210,0.12339689312965163,0.085,0.0,0.5433805828621312,97.56756289052896,102.0,84.624548863597852,110.51057691746007,y,3
211,0.11479680406105869,0.091,0.0,0.53481104795523293,93.55543964425533,102.0,80.591825701754317,106.51905358675634,y,4
212,0.15449120844204792,0.109,0.0,0.5754062144769071,90.18814665058164,98.0,77.219866778744773,103.15642652241851,y,4
213,0.18417205340849296,0.084,0.0,0.37627982134372001,82.65070969167733,90.0,69.727827728998406,95.573591654356264,g,4
214,0.1232585044717916,0.071,0.0,0.54298192182137317,83.48925485148084,90.0,70.512464609778846,96.466045093182828,y,3
215,0.12230533639377231,0.115,0.0,0.54724027163516231,80.85968091394795,84.667,67.881842504869866,93.837519323026044,y,3
216,0.09939244016435372,0.084,0.0,0.51066818888747001,79.14872190575393,82.0,66.169887830953002,92.12755598055486,y,2
217,0.1390210369161389,0.09,0.0,0.55015697928939389,80.29753561341965,82.0,67.311074875416054,93.283996351423255,y,3
218,0.10924906835696113,0.076,0.0,0.51922219566687122,68.42499912243625,71.0,55.348048562960649,81.501949681911839,y,2
219,0.06960023748889843,0.067,0.0,0.48723818864850665,65.2038950737479,71.0,52.136674052523183,78.271116094972626,y,2
220,0.05596427860686504,0.227,0.0,0.48789556561927627,61.37673218522758,67.0,48.347733840159933,74.40573053029523,y,2
221,0.1080380018178276,0.119,0.0,0.5784495632239024,52.75073440258927,59.0,39.762754927587928,65.738713877590612,y,3
222,0.09455941194535322,0.061,0.0,0.24935490873944566,52.56827638388222,59.0,39.549538304460171,65.587014463304271,g,4
223,0.10806224330189984,0.056,0.0,0.26641197199402078,44.60417724704348,49.667,31.623568258597835,57.584786235489126,g,3
224,0.08173210373665896,0.064,0.0,0.23123547279682904,39.225444182891465,45.0,26.277873695287887,52.173014670495043,g,3
225,0.12376302415807826,0.057,0.0,0.27894291801496601,40.73488429252063,45.0,27.753152002789832,53.716616582251433,g,2
226,0.0960049954461168,0.06,0.0,0.24570128944460357,33.340580078909056,36.0,20.445368132234535,46.235792025583578,g,2
227,0.10208816613492022,0.069,0.0,0.25890931650383964,32.79139420295593,36.0,19.895774111264661,45.687014294647199,g,2
228,0.12192013897304603,0.081,0.0,0.27504433873229189,33.81053571112028,35.333,20.911026003071282,46.710045419169276,g,2
229,0.11298366823839778,0.09,0.0,0.26269788034396335,33.693117630009894,34.0,20.794290464603428,46.59194479541636,g,2
230,0.08852424016741814,0.086,0.0,0.2729450860794278,33.94857556080488,34.0,21.055676115058649,46.841475006551121,g,2
231,0.1994415637170301,0.091,0.012958059972879271,0.38592506746118094,34.69943751407935,34.667,21.817057094008078,47.581817934150621,g,2
232,0.3832436634890423,0.107,0.12377061782329363,0.64271670915479095,34.96038660628526,35.0,22.079530621575429,47.841242590995094,g,4
233,0.1599715529554172,0.102,0.011261818501206389,0.30868128740962802,34.54015503248236,35.0,21.659323523807572,47.420986541157149,g,4
234,0.09707379353270618,0.09,0.0,0.52570294290592723,44.66683002381569,44.0,31.699069337731551,57.634590709899832,y,2
235,0.07666511124041758,0.075,0.0,0.50709479626518772,47.36244649556545,44.0,34.399151720154514,60.325741270976387,y,4
236,0.10224736864053488,0.073,0.0,0.51110102705631622,64.02677469737546,59.0,50.93572595531473,77.117823439436179,y,3
237,1.2234759625842027,0.733,0.69041834137192348,1.7565335837964819,103.24836689423182,89.0,89.593291857152863,116.90344193131078,y,3
238,0.15349132607102406,1.092,0.0,0.56914740381302642,108.14603403815113,89.0,94.297622238675814,121.99444583762644,y,5
239,0.15588565622662998,0.068,0.0,0.57294395314723134,144.46091511103896,127.0,130.31736387557606,158.60446634650185,y,7
240,0.2370516301401624,0.061,0.0,0.66262823999249787,167.45698019120113,146.0,153.31378673127651,181.60017365112574,y,7
241,0.26389029094511685,0.066,0.0,0.69043907996613219,159.81275004873942,146.0,145.24285358489763,174.3826465125812,y,8
242,0.20945570992282292,0.07,0.0,0.63435523869850141,168.06125814730478,166.0,153.46804996781856,182.65446632679101,y,8
243,0.18185381496931186,0.064,0.0,0.60411289362907017,162.72483894058925,166.0,148.14212537376355,177.30755250741495,y,8
244,0.15983906756458177,0.064,0.0,0.58048832181723609,158.32148294540514,167.667,143.73110492068466,172.91186097012562,y,8
245,0.16586643858121963,0.054,0.0,0.58738809453821506,160.40711361437934,171.0,145.66957733497196,175.14464989378672,y,8
246,0.1354950025103605,0.06,0.0,0.55691510704805047,163.83117011189165,171.0,148.99731993698299,178.66502028680031,y,7
247,0.21103193172325563,0.06,0.0,0.63813001895828125,166.90078638461011,170.333,152.08917046762906,181.71240230159117,y,7
248,0.13705507429811936,0.061,0.0,0.55973788470160712,169.16722610065926,170.0,154.35077816885686,183.98367403246166,y,6
249,0.19410124251243643,0.064,0.0,0.62127975857129436,170.12179340298331,170.0,155.31364694781107,184.92993985815556,y,6
250,0.204836874968497,0.063,0.0,0.62969253513054757,150.11897341773874,154.0,135.08361644278295,165.15433039269453,y,6
251,0.11082427591093591,0.057,0.0,0.53152964980824424,143.39283810208008,154.0,128.34673582561197,158.43894037854818,y,5
252,0.27365016435448597,0.07,0.0,0.69994546717603434,140.68325944369985,151.333,125.58944079444987,155.77707809294984,y,5
253,0.0,0.083,0.0,0.15778962901484431,136.5845958049191,146.0,121.46941540922482,151.69977620061337,g,3
254,0.20425586250234318,0.087,0.0,0.62819721408370244,138.42032291183978,146.0,123.22829095232132,153.61235487135824,y,5
255,0.17580036476443528,0.079,0.0,0.59812382909083461,131.2638691403829,136.667,116.08317284040879,146.444565440357,y,5
256,0.2026400746725736,0.093,0.0,0.62567908661932181,125.53162286882367,132.0,110.4673738579047,140.59587187974265,y,5
257,0.16423323927363764,0.083,0.0,0.58627873955941556,126.3331833206521,132.0,111.23409652965059,141.43227011165359,y,5
258,0.11644977911425536,0.085,0.0,0.53684650142064605,121.98590118838831,126.0,106.90256164068552,137.0692407360911,y,4
259,0.10505564327242034,0.071,0.0,0.52600580009783671,122.16522955776497,126.0,107.4313570370726,136.89910207845736,y,5
260,0.12012818716384446,0.091,0.0,0.54028457966799037,121.35228787981302,124.333,106.80100314538154,135.9035726142445,y,4
261,0.10478091613868107,0.081,0.0,0.50070830512379705,117.73502888857482,121.0,103.19298771949349,132.27707005765615,y,5
262,0.1078627401868747,0.078,0.0,0.50364550362522664,116.91395013511743,121.0,102.48145840488345,131.34644186535141,y,4
263,0.24201493884350866,0.081,0.0,0.63338604336566195,116.71147935640408,120.333,102.66283391503775,130.76012479777043,y,4
264,0.14956586330382837,0.101,0.0,0.52332755721158608,116.82199021874982,120.0,102.76467888606959,130.87930155143005,y,3
265,0.14051422094514965,0.12,0.0,0.5123697385352346,117.39167166437238,120.0,103.33088553097035,131.4524577977744,y,4
266,0.08125346139679399,0.15,0.0,0.84161755413666683,110.75928545224883,114.0,96.703745961885133,124.81482494261253,g,2
267,0.09091843244402022,0.113,0.0,0.45327888135828098,109.03064846875475,114.0,94.967310018897791,123.09398691861171,y,4
268,0.14649582480512108,0.12,0.0,0.48332706515513224,103.45109237539243,108.667,89.477232945479457,117.42495180530541,y,3
269,0.14064789648625284,0.13,0.0,0.41991819167537237,100.05278404802846,106.0,86.151032207710514,113.9545358883464,y,4
270,0.14216531555746237,0.096,0.0,0.4134741462917505,101.03488484998047,106.0,87.141134909014681,114.92863479094626,y,3
271,0.13312728576517063,0.121,0.0,0.40379823673261278,99.87862044990493,103.0,86.017367258389456,113.7398736414204,y,4
272,0.11664881921658832,0.108,0.0,0.38363609861510684,100.77293065196545,103.0,86.905986920023565,114.63987438390734,y,3
273,0.10414273744618285,0.114,0.0,0.37077512884294911,99.89804930144659,101.333,86.033163474625582,113.7629351282676,y,4
274,0.10427399704702434,0.089,0.0,0.37098567705432045,95.87272027038591,98.0,82.020985089449596,109.72445545132223,y,3
275,0.10341613235446279,0.062,0.0,0.36921788556612217,94.6698662699414,98.0,80.833611117411252,108.50612142247154,y,4
276,0.10030013673644655,0.063,0.0,0.36505459433123016,79.17724415820862,84.667,65.328339428296985,93.026148888120261,y,3
277,0.0971503662948191,0.065,0.0,0.36133494153973439,67.47071800392536,78.0,53.651516262017516,81.289919745833203,y,3
278,0.1123818476693762,0.082,0.0,0.37635419041226198,67.2282647410168,78.0,53.308644838879005,81.147884643154597,y,2
279,0.16773534064344167,0.071,0.018921410760306484,0.31654927052657689,63.79197601377933,71.0,49.912512205755178,77.671439821803489,g,3
280,0.15832086048282715,0.073,0.0,0.32500608093298278,66.65389872515243,71.0,52.745515177225286,80.562282273079575,g,3
281,0.10921140501093363,0.071,0.0,0.27624806570741706,65.7409154305959,66.667,51.840786832094793,79.641044029097017,g,2
282,0.1603451652437222,0.072,0.0,0.36423301250457352,56.855686357998934,58.0,42.897118917651355,70.814253798346513,g,2
283,0.1702464087746384,0.113,0.0,0.36755359721427577,54.63330199646478,58.0,40.674021801090326,68.592582191839227,g,2
284,2.190018503634777,0.101,1.5924638309227561,2.7875731763467977,48.29295002023508,52.0,34.336752923404696,62.249147117065469,g,4
285,0.12541368603929168,0.119,0.0,0.28952853452274885,43.965380119246106,49.0,30.009191466468419,57.92156877202379,g,4
286,0.11551088127308429,0.057,0.0,0.29132578185119518,44.33814885603056,49.0,30.361648217481168,58.314649494579946,g,3
287,0.09944996999365491,0.061,0.0,0.25976589883615708,37.26216877850578,41.0,23.295881356856171,51.228456200155392,g,3
288,0.08641460202644956,0.063,0.0,0.25555698484468675,36.4633137827023,41.0,22.484100932576986,50.442526632827615,g,2
289,0.07601759172404365,0.053,0.0,0.23638655841233003,35.666597975048035,38.667,21.721551892184195,49.611644057911874,g,2
290,0.089112910809324,0.073,0.0,0.27988059285632244,31.807935688234863,34.0,17.948032507263505,45.667838869206221,g,2
291,0.11015752545343388,0.075,0.0,0.26607831333680998,31.804736200362868,34.0,17.954138952901907,45.655333447823828,g,2
292,0.10427750507037056,0.076,0.0,0.26696707569399503,33.084315529750654,34.0,19.230357154538353,46.938273904962955,g,2
293,0.13628703329118874,0.079,0.0,0.30645033822316547,34.20853363829376,34.0,20.358209266501632,48.058858010085885,g,2
294,0.03699524444889324,0.068,0.0,0.23261245278328394,34.59666517574556,34.0,20.74631278776679,48.447017563724323,g,2
295,0.2583638717250413,0.086,0.0,0.70633584305812491,35.361773553134945,35.0,21.564580579330109,49.158966526939778,g,3
296,0.11935588229173977,0.09,0.0,0.27561444694534182,35.04445498303473,35.0,21.25448007001237,48.834429896057095,g,3
297,0.12661344148126794,0.062,0.0,0.30190039152108489,37.33325451660164,37.667,23.536839358618721,51.129669674584562,g,2
298,0.23367749490165954,0.234,0.0,0.52641744565781479,43.68098939241156,43.0,29.864032427974287,57.497946356848836,y,2
299,0.1029708273514026,0.237,0.0,0.36798045901602883,45.09244029556773,43.0,31.274914628397831,58.909965962737623,y,3
300,0.10325168427002639,0.113,0.0,0.36827455025103656,74.29806679360854,69.667,59.970581039007186,88.625552548209896,y,6
301,0.10226164288227646,0.058,0.0,0.36704225496354659,97.83319219626219,83.0,83.466897046180335,112.19948734634404,y,5
302,0.10915627172320153,0.065,0.0,0.30489178623706692,98.43704575488096,83.0,83.873051183773512,113.0010403259884,y,5
303,0.10947480654081865,0.081,0.0,0.30346109540459221,139.96142436510354,127.0,124.72055498987069,155.20229374033639,y,4
304,0.1074812255975588,0.069,0.0,0.30170049311422875,145.8315682042271,127.0,130.45218515525326,161.21095125320093,y,5
305,0.10687989259142405,0.079,0.0,0.30106813223299667,144.4117873210639,134.667,128.92589499278077,159.89767964934705,y,4
306,0.10198807444761648,0.079,0.0,0.29703166034697892,151.72855979502697,150.0,136.21807702983074,167.2390425602232,y,4
307,0.2662407009358079,0.19,0.056386411858935503,0.47609499001268024,147.87876547667804,150.0,132.38399185367754,163.37353909967854,y,5
308,0.11161384730639479,0.299,0.0,0.30765166632597174,139.7261312350842,147.333,124.29225414719522,155.1600083229732,y,5
309,0.09254647615437342,0.1,0.0,0.28808672362784865,134.43722233532822,146.0,118.99225339388272,149.88219127677371,y,8
310,0.0883673649686223,0.494,0.0,0.29447302593876756,134.66395745097157,146.0,119.11042385418553,150.21749104775759,y,10
311,0.10331056477095846,0.206,0.0,0.30868378241010275,139.0408097303532,146.0,123.43997416095881,154.64164529974761,y,9
312,0.10079166159391373,0.085,0.0,0.30651236494512868,144.09251471027392,146.0,128.46241614546679,159.72261327508105,y,10
313,0.1020176051161521,0.132,0.0,0.30470785154047597,144.1520882125173,143.333,128.52963731068644,159.77453911434816,y,9
314,0.1015442401537976,0.083,0.0,0.30788489310483391,137.7734018577737,138.0,122.11818318541957,153.42862053012786,y,10
315,0.11149336676399324,0.054,0.0,0.31613545791319175,134.8908260254937,138.0,119.26008950108417,150.52156254990325,y,9
316,0.11308100593926218,0.058,0.0,0.31746665179203715,127.59101365863665,132.667,112.00329419098995,143.17873312628336,y,9
317,0.10075796496194522,0.056,0.0,0.30711137718274756,122.29708412484956,130.0,106.7158232316436,137.87834501805554,y,8
318,0.10672687030217443,0.055,0.0,0.31154509968085298,121.89356608692515,130.0,106.26554763432968,137.52158453952063,y,8
